Image Id,Model,Prompt,Pic Num.,1. Missing Error-1.1 Torso,1. Missing Error-1.2 Limbs,1. Missing Error-1.3 Feet,1. Missing Error-1.4 Hands,1. Missing Error-1.5 Face,2. Extra Error-2.1 Torso,2. Extra Error-2.2 Limbs,2. Extra Error-2.3 Feet,2. Extra Error-2.4 Hands,2. Extra Error-2.5 Face,3. Configuration Error-3.1 Torso,3. Configuration Error-3.2 Limbs,3. Configuration Error-3.3 Feet,3. Configuration Error-3.4 Hands,3. Configuration Error-3.5 Face,4. Orientation Error-4.1 Torso,4. Orientation Error-4.2 Limbs,4. Orientation Error-4.3 Feet,4. Orientation Error-4.4 Hands,4. Orientation Error-4.5 Face,5. Proportion Error-5.1 Torso,5. Proportion Error-5.2 Limbs,5. Proportion Error-5.3 Feet,5. Proportion Error-5.4 Hands,5. Proportion Error-5.5 Face,Annotator
dall-e3_old couple in sauna_04,dall-e3,old couple in sauna,4,,,,2/5a,1/2a,,1/8b,,1/5,,,1/8a,"3/4a,1/4b","2/5a,2/5c",,,,1/4a,,,,,,"2/4a,2/4b",,anno3
dall-e3_physician examining patient_02,dall-e3,physician examining patient,2,,,,,,,,,,,,,,"1/4a,3/4c",,,,,,,,,,,,anno3
dall-e3_wrestling in arena_07,dall-e3,wrestling in arena,7,,,,,,,1/7c,1/3c,,,,"2/7a,2/7b",,2/3b,,1/2c,1/7c,,,,1/2c,2/7c,,,1/2c,anno3
dall-e3_physician examining patient_08,dall-e3,physician examining patient,8,,,,,,,,,,,,,,1/2a,,,,,,,,,,,,anno3
dall-e3_wrestling in arena_02,dall-e3,wrestling in arena,2,,,,,,,1/9c,,,,,,,3/4a,,,1/9a,,,,,"1/9a,3/9b",,,,anno3
dall-e3_physician examining patient_04,dall-e3,physician examining patient,4,,,1/2c,1/3c,,,,,1/2a,,,2/7c,,2/2a,,,1/7c,,,,,2/7a,,,,anno3
dall-e3_person jogging_07,dall-e3,person jogging,7,,,,,,,,,,,1/1b,1/2a,,1/2b,,1/1a,1/2a,1/1a,,,,,,,,anno3
dall-e3_wrestling in arena_08,dall-e3,wrestling in arena,8,,,,"1/3,2/3b","1/2a,1/2b",,1/9c,1/5c,,,"2/2a,1/2b",,,1/1a,,,1/9c,,,,,"2/9a,1/9c",,,,anno3
dall-e3_person jogging_02,dall-e3,person jogging,2,,,,,,,,,1/2a,,"1/1a,1/1b",,,1/2a,,,,,,,,,,1/2a,,anno3
dall-e3_mother or father holding baby_08,dall-e3,mother or father holding baby,8,,,,,,,,,,,,,,,2/2a,,,,,,1/2b,,,,1/2b,anno3
dall-e3_five people playing volleyball_06,dall-e3,five people playing volleyball,6,,,,,1/6b,,,,1/11a,,1/6a,"4/24a,2/24b,1/24c",1/4a,"1/11a,6/11b,3/11c","2/6a,2/6b,2/6c",,"1/24a,1/24b",1/4a,,,,6/24b,,,,anno3
dall-e3_wrestling in arena_01,dall-e3,wrestling in arena,1,,1/8c,,,1/1a,,,,1/3c,,,"2/7a,1/7b",1/2b,,1/1b,,1/7c,,,,,"1/7b,1/7c",,1/2a,,anno3
dall-e3_five people sunbathing on beach_08,dall-e3,five people sunbathing on beach,8,1/7a,"2/27b,1/28c",2/9c,1/12c,"1/3b,1/4c",,,,1/11a,,4/7a,1/27b,7/7b,7/11b,1/3a,,4/27a,2/7a,,,,4/27a,,1/11a,,anno3
dall-e3_five people sunbathing on beach_04,dall-e3,five people sunbathing on beach,4,,,2/10c,1/8b,,,,3/10a,,,,"1/17b,1/17a",,"6/8c,1/8b",4/5c,,"2/17b,1/17a,1/17c",1/7a,,,,,1/7b,,,anno2
dall-e3_wrestling in arena_06,dall-e3,wrestling in arena,6,,,,1/3a,,,,,,,,,,1/3a,,1/2c,,,,,,4/8a,,,,anno2
dall-e3_old couple in sauna_02,dall-e3,old couple in sauna,2,,,,,,,,,,,,,,,2/2a,,,,,,,,,1/4a,,anno2
dall-e3_athlete performing salto_06,dall-e3,athlete performing salto,6,,,1/2b,,,,,,,,,,,,,,,,,,,,,1/2a,,anno2
dall-e3_couple hugging_08,dall-e3,couple hugging,8,,,1/4b,,,,,,,,,,,1/4b,,,,,,,,,1/4a,,,anno2
dall-e3_physician examining patient_03,dall-e3,physician examining patient,3,,1/6b,,1/4a,,,,,,,,,,2/4a,1/2b,,,,,,,,,,,anno2
dall-e3_athlete performing salto_02,dall-e3,athlete performing salto,2,,,,,,,,,1/2c,,,,,,,,,,,,,3/4a,,,,anno2
dall-e3_mother or father holding baby_05,dall-e3,mother or father holding baby,5,,,,,,,,,,,,,,2/3a,,,,,,,,,,,,anno2
dall-e3_five people playing volleyball_07,dall-e3,five people playing volleyball,7,,,,,,,,,,,,2/20a,1/10b,"2/6a,1/6b",1/5a,,,,,,1/5a,1/20a,,,,anno2
dall-e3_people eating pizza_07,dall-e3,people eating pizza,7,,,,,,,,,,,,,,"2/9a,1/9b",,,,,,,,,,,,anno2
dall-e3_athlete performing salto_03,dall-e3,athlete performing salto,3,,,,,,,,,,,,,,,,,,,,,1/1a,2/2a,,,,anno2
dall-e3_five people playing volleyball_03,dall-e3,five people playing volleyball,3,,1/24c,,1/11c,,,,,,,1/6c,1/23a,,"5/10a,1/10b,1/10c","2/6a,1/6b,1/6c",,,,,,,3/23a,1/12b,,,anno2
dall-e3_athlete performing salto_07,dall-e3,athlete performing salto,7,,,,,,,,,,,,,,1/2a,,,,,,,,2/4a,,,,anno2
dall-e3_person jogging_03,dall-e3,person jogging,3,,,,,,,,,,,,,,,,,,,,,,1/4a,,,,anno2
dall-e3_old couple in sauna_07,dall-e3,old couple in sauna,7,,,1/4a,1/4a,2/2a,,,,,,,,,"2/4b,1/4a",,,,,,,,,,,,anno2
dall-e3_people eating pizza_05,dall-e3,people eating pizza,5,,,,"1/4a,1/4c",,,,,,,,1/4b,,1/3b,,,,,,,,,,,,anno1
dall-e3_old couple in sauna_08,dall-e3,old couple in sauna,8,,,,,,,,,1/4a,,,,4/4a,"1/4a,1/4c",,,,,,,,1/8a,,,,anno1
dall-e3_physician examining patient_06,dall-e3,physician examining patient,6,,,,,,,,,,,,,,,,,,,,,,,,1/2a,,anno1
dall-e3_five people playing volleyball_05,dall-e3,five people playing volleyball,5,1/4c,,,1/6b,,,,,,,,,,,3/3a,,2/16a,,,,,2/16a,,,3/3a,anno1
dall-e3_mother or father holding baby_04,dall-e3,mother or father holding baby,4,,,,,,,,,1/1c,,,,,,,,,,1/1b,,,,,,1/2a,anno1
dall-e3_person jogging_06,dall-e3,person jogging,6,,,,,,,,,,,,,,,,,,,,,1/1a,,,1/2a,,anno1
dall-e3_five people sunbathing on beach_03,dall-e3,five people sunbathing on beach,3,,,,,5/5c,,,,,,,"2/20b,2/20c","4/10b,6/10c",10/10b,5/5c,2/5c,5/20a,,,,,6/20a,,,,anno1
dall-e3_person jogging_08,dall-e3,person jogging,8,,,,,,,,,,,,,,,,,1/4a,,1/2a,,,,,,,anno1
dall-e3_people eating pizza_03,dall-e3,people eating pizza,3,,,,,,,,,,,,,,1/5a,,,1/2a,,4/5a,,,,,2/5a,,anno1
dall-e3_five people sunbathing on beach_06,dall-e3,five people sunbathing on beach,6,,,,,4/5b,,,,,,,"9/20a,2/20c",6/7b,,"1/5c,4/5a",,1/20a,1/7a,,,,13/20a,,,5/5a,anno1
dall-e3_old couple in sauna_05,dall-e3,old couple in sauna,5,,,2/4a,,,,,,,,,,,4/4b,,,,,3/4b,,,,,4/4b,,anno1
dall-e3_five people sunbathing on beach_07,dall-e3,five people sunbathing on beach,7,,,,2/4a,5/5c,,,1/10a,1/4a,,,1/20a,9/10b,3/4a,"1/5b,5/5c",,6/20b,"2/10a,1/10b",,,,5/20a,4/10b,,,anno1
dall-e3_physician examining patient_05,dall-e3,physician examining patient,5,,,,,,,,,,,,,,,,,,,,,,1/3a,,,1/2a,anno1
dall-e3_people eating pizza_04,dall-e3,people eating pizza,4,,,,,,,,,,,,,,2/5a,3/3a,,,,,,,,,,,anno1
dall-e3_five people playing volleyball_04,dall-e3,five people playing volleyball,4,,,,,,,,,,,,3/24b,,4/12b,,,,,,,,6/24a,,"4/12a,2/12b",,anno1
sdxl_physician examining patient_02,sdxl,physician examining patient,2,,,,,,,,,1/3c,,,,,4/4b,2/2a,,1/2b,,,,,,,,,anno1
sdxl_mother or father holding baby_05,sdxl,mother or father holding baby,5,,,,,,,,,,,,,,2/4c,,1/2b,2/4c,,1/4b,,,1/4b,,,,anno1
sdxl_people eating pizza_03,sdxl,people eating pizza,3,,,,,1/5b,,,,3/8c,,3/5a,,,10/11c,,,,,,,,3/5b,,,2/5a,anno1
sdxl_person jogging_06,sdxl,person jogging,6,,,,,,,,,,,,,1/2a,2/2a,,,,,,,,3/4a,,2/2a,1/1a,anno1
sdxl_couple hugging_08,sdxl,couple hugging,8,,,,,,,1/2c,,2/2c,,1/2a,2/3b,,4/4c,1/2c,,1/3c,,,,,,,,1/2a,anno1
sdxl_athlete performing salto_07,sdxl,athlete performing salto,7,,,,,,,,,,,1/1c,4/4b,1/2b,2/2c,1/1c,1/1c,2/4c,2/2b,,,1/1c,2/4c,,,,anno1
sdxl_five people playing volleyball_02,sdxl,five people playing volleyball,2,,,2/10c,,2/4c,1/5c,3/17c,,,,"1/5c,2/5a",6/20c,,8/8c,"1/4a,2/4b,1/4c",,,,,,,10/20b,,,,anno1
sdxl_couple hugging_01,sdxl,couple hugging,1,,,,,,,,,,,,,,1/1b,,,,,,,1/2a,,,,1/2a,anno1
sdxl_people eating pizza_05,sdxl,people eating pizza,5,,,,1/3c,,,,,,,4/4a,1/2c,,3/3c,1/5c,,1/2c,,,,1/4b,,,,,anno1
sdxl_old couple in sauna_02,sdxl,old couple in sauna,2,,,,1/4c,,,,,,,2/2c,5/8b,,3/3c,,2/2b,3/8c,,,,,7/8b,,,2/2a,anno1
sdxl_physician examining patient_06,sdxl,physician examining patient,6,,,,1/3a,,,,,1/3b,,,,,2/3b,"2/3a,1/3b",,,,,,1/3a,,,,,anno4
sdxl_athlete performing salto_08,sdxl,athlete performing salto,8,,,,,,,1/2c,,,,,,,2/2b,,,1/2b,,,,1/1a,1/2c,,,,anno4
sdxl_couple hugging_01,sdxl,couple hugging,1,,,,,,,,,,,,,,1/1a,,,,,,,,,,,,anno4
sdxl_five people sunbathing on beach_06,sdxl,five people sunbathing on beach,6,,5/24b,,,,,,1/12a,,,1/6b,4/24b,6/24b,5/24b,"5/6a,1/6b",,1/24c,,,,,3/24b,,,,anno4
sdxl_couple hugging_08,sdxl,couple hugging,8,,,,,,,2/3b,,,,,,,2/3b,1/2b,,,,,,,,,,,anno4
sdxl_athlete performing salto_07,sdxl,athlete performing salto,7,,,1/2b,,,,,,,,,,,2/2a,,,1/2b,,1/2b,1/1c,1/1a,,,,,anno4
sdxl_people eating pizza_05,sdxl,people eating pizza,5,,,,,,,,,,1/5b,,,,3/4b,,,,,,,,,,,,anno4
sdxl_five people playing volleyball_08,sdxl,five people playing volleyball,8,,1/24b,,1/12c,,,2/24b,,,,,1/12b,,7/12b,,,1/12b,,,,,,,,,anno4
sdxl_old couple in sauna_07,sdxl,old couple in sauna,7,,,,,,,,,,,2/2a,1/4a,,"1/3a,1/3b",,,,,,,,,,,,anno4
sdxl_five people sunbathing on beach_07,sdxl,five people sunbathing on beach,7,,1/10a,2/10b,1/10a,,,,,,,,1/10a,5/5a,1/10a,,,,,,,,2/10a,,,,anno4
sdxl_person jogging_01,sdxl,person jogging,1,,,,,,,,,1/2a,,1/1b,,1/1a,2/2a,1/1a,,1/2c,,,,,,,,,anno3
sdxl_wrestling in arena_04,sdxl,wrestling in arena,4,,,,1/4c,,,1/8c,1/4c,,,1/2c,5/9c,,,2/2a,1/2c,4/9c,,,,,"2/9b,1/9c",,,,anno3
sdxl_physician examining patient_06,sdxl,physician examining patient,6,1/3a,1/5a,,2/4a,1/3a,,,,1/5c,,2/3b,,,"2/5a,1/5b,2/5c","2/3a,1/3b",,,,,,,,,,,anno3
sdxl_five people playing volleyball_02,sdxl,five people playing volleyball,2,,,1/5c,4/7b,1/4b,1/6c,3/21c,2/5c,,,1/6a,"1/21a,1/21c",,7/7c,"1/4a,1/4b,1/4c",,,,,,,1/21b,,,,anno3
sdxl_wrestling in arena_03,sdxl,wrestling in arena,3,,,,,,,,,,,1/2b,2/3b,,2/2b,,,,,,,,"4/6a,1/6c",,,,anno3
sdxl_mother or father holding baby_04,sdxl,mother or father holding baby,4,,,,"1/2a,1/2b",,,,,,,2/2b,,,1/2b,1/2a,,,,,,,,,,,anno3
sdxl_old couple in sauna_02,sdxl,old couple in sauna,2,,,,"2/3a,1/4c",,,,,,,"1/2a,1/2c",,,3/3c,2/2a,,4/8c,,,,,2/8c,,3/3c,,anno3
sdxl_athlete performing salto_08,sdxl,athlete performing salto,8,1/1b,,,1/3a,,,1/5c,,1/3c,,1/1c,2/5b,,"1/3b,1/3c",,,,1/2c,,,,1/5c,,,,anno3
sdxl_five people sunbathing on beach_07,sdxl,five people sunbathing on beach,7,2/5a,"2/19b,1/20c","1/6a,1/6b,4/10c",1/4b,"1/5a,1/5b",,,,,,3/5b,"1/19b,2/19c",6/6c,"3/4a,1/4c",5/5c,,"2/9b,3/9c",3/6b,,,1/5c,6/19b,,,,anno3
sdxl_people eating pizza_03,sdxl,people eating pizza,3,,,,2/10a,4/5b,,1/5c,,1/10c,,,1/5b,,"1/10b,7/10c",,,,,,,,1/5b,,,,anno3
sdxl_five people sunbathing on beach_06,sdxl,five people sunbathing on beach,6,,4/24c,,4/12c,,,,,,,1/6a,"1/20a,1/20c","4/10c,3/10b,1/10a","5/8c,2/8b,1/8a","2/6c,3/6b",,,,,,,1/20c,1/10c,,,anno2
sdxl_mother or father holding baby_04,sdxl,mother or father holding baby,4,,,,,,,,,"1/2b,1/2c",,,,,,,,,,,,,,,,,anno2
sdxl_person jogging_06,sdxl,person jogging,6,,,,,,,1/2c,,1/2b,,,,,1/2c,,,,,,,,,,,,anno2
sdxl_physician examining patient_02,sdxl,physician examining patient,2,,,,,,,,,1/3c,,,,,2/3c,1/2a,,,,,,,,,,,anno2
sdxl_wrestling in arena_03,sdxl,wrestling in arena,3,,,,,,,,,,,,1/6a,,"2/3c,1/3b",,,,,,,2/2a,1/6a,,,,anno2
sdxl_old couple in sauna_07,sdxl,old couple in sauna,7,,,,,,,,,,,,,,2/3c,2/2a,,1/7b,,,,,,,,,anno2
sdxl_wrestling in arena_04,sdxl,wrestling in arena,4,,,,,,,1/6c,,,,1/2c,4/6c,,1/2c,,,,,,,,"2/9c,1/9b",,,,anno2
sdxl_five people playing volleyball_08,sdxl,five people playing volleyball,8,,1/24c,,,,,2/24c,,2/12c,,,1/11c,,"4/11c,1/11a",3/5c,,,,1/11c,,,"2/23a,1/23c",,,,anno2
sdxl_person jogging_01,sdxl,person jogging,1,,,,,,,,,1/2b,,,,,,,,,,,,,1/4a,,,,anno2
sdxl_mother or father holding baby_05,sdxl,mother or father holding baby,5,,,,,,,,,"1/3c,1/3b",,,1/4a,,,,,,,1/3b,,,,,,,anno2
sdxl_person jogging_04,sdxl,person jogging,4,,,,1/2c,,,,,,,,,,,,,,,,,,3/4a,,1/2c,,anno4
sdxl_athlete performing salto_01,sdxl,athlete performing salto,1,,,,1/2b,,,,,,,,,,,,1/1a,4/4b,,2/2b,,1/1b,2/2b,,,1/1a,anno4
sdxl_five people playing volleyball_07,sdxl,five people playing volleyball,7,2/6c,,1/12b,,,,,,,,2/6b,1/7b,,,,,,,,,,,,,,anno4
sdxl_old couple in sauna_01,sdxl,old couple in sauna,1,,,4/4a,,,,1/4c,,,,,,,"3/4c,1/4b",1/2b,,,,,,,,,,,anno4
sdxl_couple hugging_02,sdxl,couple hugging,2,,,,1/2a,,,,,,,,,,,,,,,,,,,,,,anno4
sdxl_physician examining patient_08,sdxl,physician examining patient,8,,,,,1/3c,,,,,,,,,3/3c,2/2a,,,,,,,,,,,anno4
sdxl_person jogging_08,sdxl,person jogging,8,,,,,,,,,,,,,,1/2a,,,,,,,,,,,,anno4
sdxl_people eating pizza_06,sdxl,people eating pizza,6,,,,,,,1/8a,,,,,2/8b,,3/9b,3/4a,,,,,,,,,,,anno4
sdxl_couple hugging_06,sdxl,couple hugging,6,,,,,,1/2c,,,,1/2c,,,,,,,,,,,,,,,,anno4
sdxl_physician examining patient_03,sdxl,physician examining patient,3,,"1/4a, 1/4b",,,,,,,,,,,,3/3b,3/3b,,,,,,,,,,,anno4
sdxl_mother or father holding baby_07,sdxl,mother or father holding baby,7,,,,1/2b,,,,,,,,,,1/2a,2/2a,,,,,,,,,,,anno4
sdxl_athlete performing salto_02,sdxl,athlete performing salto,2,,,1/2b,2/2b,,,,,,,,,,,,,,,,,,3/4b,,1/2a,1/1a,anno4
sdxl_athlete performing salto_03,sdxl,athlete performing salto,3,,,,1/2b,,,,,,,,,1/2a,1/2a,,1/4a,,,,,,,,,,anno4
sdxl_five people playing volleyball_05,sdxl,five people playing volleyball,5,,1/4b,,,,,1/6b,,,,,,,2/2b,,,,,1/2a,,,,,,,anno4
sdxl_five people playing volleyball_04,sdxl,five people playing volleyball,4,,2/10b,,2/7c,,,,,,,,,,2/7b,,,2/7a,,,,,,2/10b,,,anno4
sdxl_people eating pizza_02,sdxl,people eating pizza,2,,,,2/3a,1/3b,,,,,,1/2c,1/5a,,"1/3a,1/3c",1/3b,,,,,,,,,,,anno3
sdxl_five people sunbathing on beach_02,sdxl,five people sunbathing on beach,2,"2/4a,1/4b","3/12b,4/16c","4/9b,5/9c","3/3a,3/6c",,,1/12c,1/4c,,,2/4c,"1/12a,5/12b,4/12c",4/4b,"1/3b,2/3c",2/2c,1/4b,2/12c,,2/3c,,2/4c,3/12b,3/4b,,,anno3
sdxl_physician examining patient_05,sdxl,physician examining patient,5,1/3a,,,"2/5a,1/5b,1/6c",2/3a,,,,,,,1/4c,,"2/5a,1/5b",1/3b,,,,,,,1/5c,,,,anno3
